Registreringsland /Skattemæssigt hjemsted;ISIN-kode;Navn ;LEI kode;ASIDENT;CVR/SE/TIN;Navn  ;Første registreringsår
Luxembourg (LU);LU2089238468;AMUNDI PRIME USA;213800PURSDXAV5D5N81;;;Amundi Index Solution;2021
Luxembourg (LU);LU2109787478;AMUNDI  MSCI EUROPE ESG LEADERS SELECT;213800F8YTMWBXNF3B48;;;Amundi Index Solution;2021
Ireland (IE);IE00BGV5VN51;Artificial Intelligence & Big Data UCITS ETF;254900X8OXFNVMRD9308;;6413802R;XTRACKERS (IE) PLC;2021
Ireland (IE);IE00BN15WH59;Baillie Gifford Worldwide Positive Change Fund A CHF Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BK5TW941;Baillie Gifford Worldwide Positive Change Fund A EUR Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BK70ZP28;Baillie Gifford Worldwide Positive Change Fund A USD Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BD3TXF01;Baillie Gifford Worldwide Positive Change Fund B AUD Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BKLVKQ76;Baillie Gifford Worldwide Positive Change Fund B CAD Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BN15WJ73;Baillie Gifford Worldwide Positive Change Fund B CHF Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BLKGT967;Baillie Gifford Worldwide Positive Change Fund B EUR Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BDCY2C68;Baillie Gifford Worldwide Positive Change Fund B EUR Inc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BLRPML96;Baillie Gifford Worldwide Positive Change Fund B GBP Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BL9XLZ85;Baillie Gifford Worldwide Positive Change Fund B JPY Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BDCY2N73;Baillie Gifford Worldwide Positive Change Fund B USD Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BG47J676;Baillie Gifford Worldwide Positive Change Fund C AUD Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Ireland (IE);IE00BJK3VZ31;Baillie Gifford Worldwide Positive Change Fund C JPY Acc;;;IE 9778 893O;Baillie Gifford Worldwide Positive Change Fund;2022
Denmark (DK);DK0016102361;Balance 60;5493009YCBIPFSKVUU13;;32531385;KAPITALFORENINGEN LÅN & SPAR MIXINVEST Afd Balance 60;2022
Denmark (DK);DK0010301167;Balance 80;549300QL36LOOVHFN291;;12100256;KAPITALFORENINGEN LÅN & SPAR MIXINVEST Afd. Balance 80;2022
Luxembourg (LU);LU2048601061;BGF China A-Share Fund - Aggregate (Class A2);;;19624500019;BGF China A-Share Fund;2022
Luxembourg (LU);LU2048600170;BGF China A-Share Fund - Aggregate (Class A2);;;19624500019;BGF China A-Share Fund;2022
Luxembourg (LU);LU2048601228;BGF China A-Share Fund - Aggregate (Class D2);;;19624500019;BGF China A-Share Fund;2022
Luxembourg (LU);LU2048601574;BGF China A-Share Fund - Aggregate (Class I2);;;19624500019;BGF China A-Share Fund;2022
Luxembourg (LU);LU2048602036;BGF China A-Share Fund - Aggregate (Class X2);;;19624500019;BGF China A-Share Fund;2022
Luxembourg (LU);LU2183146351;BGF China A-Share Fund ();;;19624500019;BGF China A-Share Fund;2022
Luxembourg (LU);LU2183146278;BGF China A-Share Fund (Class I2 Hedged);;;19624500019;BGF China A-Share Fund;2022
Luxembourg (LU);LU2087589854;BGF Circular Economy Fund - Aggregate ();549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2092937221;BGF Circular Economy Fund - Aggregate (Class A2 Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2041044178;BGF Circular Economy Fund - Aggregate (Class A2);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2041044095;BGF Circular Economy Fund - Aggregate (Class A2);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2041044335;BGF Circular Economy Fund - Aggregate (Class D2);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2041044251;BGF Circular Economy Fund - Aggregate (Class D2);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2041044681;BGF Circular Economy Fund - Aggregate (Class I2);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2041044764;BGF Circular Economy Fund - Aggregate (Class I2);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2041044921;BGF Circular Economy Fund - Aggregate (Class X2);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2041044848;BGF Circular Economy Fund - Aggregate (Class Z2);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2298321311;BGF Circular Economy Fund (Class A2 Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2298321154;BGF Circular Economy Fund (Class A2 Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2298320859;BGF Circular Economy Fund (Class A2 Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2298321071;BGF Circular Economy Fund (Class A2 Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2298320933;BGF Circular Economy Fund (Class A2 Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2298321238;BGF Circular Economy Fund (Class A2 Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2298321402;BGF Circular Economy Fund (Class A2 Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2360108059;BGF Circular Economy Fund (Class A4);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2168065576;BGF Circular Economy Fund (Class I2 Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2168065493;BGF Circular Economy Fund (Class I2);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2319961095;BGF Circular Economy Fund (Class I4 GBP);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2360107911;BGF Circular Economy Fund (Class I4);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2319961418;BGF Circular Economy Fund (Class SR2 EUR Hedged);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2319961509;BGF Circular Economy Fund (Class SR2 USD);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2319961251;BGF Circular Economy Fund (Class SR2 USD);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2319961178;BGF Circular Economy Fund (Class SR4 GBP);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2319961335;BGF Circular Economy Fund (Class SR4 USD);549300DE2JONQNRY6N75;;19624500019;BGF Circular Economy Fund;2022
Luxembourg (LU);LU2372746011;BGF Developed Markets Sustainable Equity Fund - Aggregate (Class D2);549300RZN20CR9GE2N37;;19624500019;BGF Developed Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2372744669;BGF Developed Markets Sustainable Equity Fund - Aggregate (Class I2);549300RZN20CR9GE2N37;;19624500019;BGF Developed Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344726588;BGF Developed Markets Sustainable Equity Fund (Class A2);549300RZN20CR9GE2N37;;19624500019;BGF Developed Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344725853;BGF Developed Markets Sustainable Equity Fund (Class A2);549300RZN20CR9GE2N37;;19624500019;BGF Developed Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344725770;BGF Developed Markets Sustainable Equity Fund (Class D2);549300RZN20CR9GE2N37;;19624500019;BGF Developed Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344725424;BGF Developed Markets Sustainable Equity Fund (Class I2);549300RZN20CR9GE2N37;;19624500019;BGF Developed Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344725341;BGF Developed Markets Sustainable Equity Fund (Class X2);549300RZN20CR9GE2N37;;19624500019;BGF Developed Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU0252967533;BGF Emerging Europe Fd - Emerg Euro Mkts Pfolio (Share class D2 EUR);549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0572106309;BGF Emerging Europe Fund - Aggregate (CLASS A2 HEDGED);549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0827876581;BGF Emerging Europe Fund - Aggregate (CLASS D2);549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0408221355;BGF Emerging Europe Fund - Emerging European Markets Portfolio (CLASS A4);549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0368229539;BGF Emerging Europe Fund - Emerging European Markets Portfolio (CLASS I2);549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0011850392;BGF Emerging Europe Fund - Emerging European Markets Portfolio(Share class;549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0171273575;BGF Emerging Europe Fund - Emerging European Markets Portfolio(Share class;549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0147383631;BGF Emerging Europe Fund - Emerging European Markets Portfolio(X EUR);549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0204061609;BGF Emerging Europe Fund Class A4 GBP;549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0827876748;BGF Emerging Europe Fund Class D2 Hedged GBP;549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0827876664;BGF Emerging Europe Fund Class D4 GBP;549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU0513876275;BGF Emerging Europe Fund Class X4 GBP;549300RUF9JP7OY4U871;;19624500019;BGF Emerging Europe Fund - Aggregate;2020
Luxembourg (LU);LU2087589771;BGF Emerging Markets Equity Income Fund ();5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU2087589698;BGF Emerging Markets Equity Income Fund (Class A2 Hedged);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU0651946864;BGF Emerging Markets Equity Income Fund (CLASS A2);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU2050411763;BGF Emerging Markets Equity Income Fund (Class A2);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU0651947912;BGF Emerging Markets Equity Income Fund (CLASS A5G);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1529943976;BGF Emerging Markets Equity Income Fund (Class A6 Hedged);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1529944354;BGF Emerging Markets Equity Income Fund (Class A6 Hedged);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1515016050;BGF Emerging Markets Equity Income Fund (Class A6 Hedged);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1529944198;BGF Emerging Markets Equity Income Fund (Class A6 Hedged);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1051768304;BGF Emerging Markets Equity Income Fund (CLASS A6);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1051769294;BGF Emerging Markets Equity Income Fund (CLASS A6);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1516381719;BGF Emerging Markets Equity Income Fund (Class A8 Hedged);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1515016217;BGF Emerging Markets Equity Income Fund (Class A8 Hedged);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1529944438;BGF Emerging Markets Equity Income Fund (Class A8 Hedged);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU2087589425;BGF Emerging Markets Equity Income Fund (Class D2);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU2066749115;BGF Emerging Markets Equity Income Fund (Class D5);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1074795896;BGF Emerging Markets Equity Income Fund (CLASS I2 HEDGED);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU2026300900;BGF Emerging Markets Equity Income Fund (Class I2);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU0841147159;BGF Emerging Markets Equity Income Fund (CLASS X2);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU1190486057;BGF Emerging Markets Equity Income Fund (CLASS X6);5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU0653880228;BGF Emerging Markets Equity Income Fund Class D2 USD;5493008B5D1KCJRCE326;;19624500019;BGF Emerging Markets Equity Income Fund;2022
Luxembourg (LU);LU2087590357;BGF Emerging Markets Fund - Aggregate ();549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU2087590274;BGF Emerging Markets Fund - Aggregate (Class A2 Hedged);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU2125290366;BGF Emerging Markets Fund - Aggregate (Class A4);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU2344713842;BGF Emerging Markets Fund - Aggregate (Class A4);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU2369862763;BGF Emerging Markets Fund - Aggregate (Class I2);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU1866970491;BGF Emerging Markets Fund - Aggregate (Class I5);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU2308286959;BGF Emerging Markets Fund - Aggregate (Class X2);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU0462857433;BGF Emerging Markets Fund - Aggregate Account (CLASS X2);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU0252970164;BGF Emerging Markets Fund - Global Emerging Markets Portfolio (CLASS D2);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU0252967376;BGF Emerging Markets Fund - Global Emerging Markets Portfolio (CLASS D2);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU0562137082;BGF Emerging Markets Fund - Global Emerging Markets Portfolio (CLASS X2);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU0047713382;BGF Emerging Markets Fund - Global Emerging Markets Portfolio(Share class A;549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU0171275786;BGF Emerging Markets Fund - Global Emerging Markets Portfolio(Share class A;549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU1791183517;BGF Emerging Markets Fund (Class A2 CZK);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU1559747883;BGF Emerging Markets Fund (Class I2);549300589EYDRWD71M87;;19624500019;BGF Emerging Markets Fund;2022
Luxembourg (LU);LU2372745047;BGF Emerging Markets Sustainable Equity Fund - Aggregate (Class D2);549300LB6Q9I4FRKNM72;;19624500019;BGF Emerging Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344726406;BGF Emerging Markets Sustainable Equity Fund (Class A2);549300LB6Q9I4FRKNM72;;19624500019;BGF Emerging Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344724708;BGF Emerging Markets Sustainable Equity Fund (Class A2);549300LB6Q9I4FRKNM72;;19624500019;BGF Emerging Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344726315;BGF Emerging Markets Sustainable Equity Fund (Class D2);549300LB6Q9I4FRKNM72;;19624500019;BGF Emerging Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344726158;BGF Emerging Markets Sustainable Equity Fund (Class I2);549300LB6Q9I4FRKNM72;;19624500019;BGF Emerging Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344726232;BGF Emerging Markets Sustainable Equity Fund (Class I2);549300LB6Q9I4FRKNM72;;19624500019;BGF Emerging Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344726075;BGF Emerging Markets Sustainable Equity Fund (Class X2);549300LB6Q9I4FRKNM72;;19624500019;BGF Emerging Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU2344725937;BGF Emerging Markets Sustainable Equity Fund (Class X2);549300LB6Q9I4FRKNM72;;19624500019;BGF Emerging Markets Sustainable Equity Fund;2022
Luxembourg (LU);LU1791806182;BGF Euro-Markets Fund - Aggregate (Class A2 Hedged);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU1414096542;BGF Euro-Markets Fund - Aggregate (Class I4);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU1270847343;BGF Euro-Markets Fund - European Equity Portfolio - Aggregate (CLASS A2  HE;549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0969580488;BGF Euro-Markets Fund - European Equity Portfolio - Aggregate (CLASS A2  HE;549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0589470326;BGF Euro-Markets Fund - European Equity Portfolio - Aggregate (CLASS A2 HED;549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0986743572;BGF Euro-Markets Fund - European Equity Portfolio - Aggregate (CLASS A2);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU1185942403;BGF Euro-Markets Fund - European Equity Portfolio - Aggregate (CLASS D2  HE;549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0827878280;BGF Euro-Markets Fund - European Equity Portfolio - Aggregate (CLASS D2);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0827878363;BGF Euro-Markets Fund - European Equity Portfolio - Aggregate (CLASS D4);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0368230206;BGF Euro-Markets Fund - European Equity Portfolio (CLASS I2);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0147386659;BGF Euro-Markets Fund - European Equity Portfolio (CLASS X2);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0162689763;BGF Euro-Markets Fund - European Equity Portfolio(A1 EUR);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0093502762;BGF Euro-Markets Fund - European Equity Portfolio(Share class A2 EUR);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0171277485;BGF Euro-Markets Fund - European Equity Portfolio(Share class A2 USD);549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0204061948;BGF Euro-Markets Fund Class A4 GBP;549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0252966485;BGF Euro-Markets Fund Class D2 EUR;549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0906886691;BGF Euro-Markets Fund Class D2 Hedged CHF;549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU0827878447;BGF Euro-Markets Fund Class D4 GBP;549300GXUXRC34JGKL97;;19624500019;BGF Euro-Markets Fund - Aggregate;2020
Luxembourg (LU);LU2344724963;BGF Europe Sustainable Equity Fund (Class A2);549300FPZK8Q36WIPB73;;19624500019;BGF Europe Sustainable Equity Fund;2022
Luxembourg (LU);LU2344724880;BGF Europe Sustainable Equity Fund (Class D2);549300FPZK8Q36WIPB73;;19624500019;BGF Europe Sustainable Equity Fund;2022
Luxembourg (LU);LU2344725697;BGF Europe Sustainable Equity Fund (Class I2);549300FPZK8Q36WIPB73;;19624500019;BGF Europe Sustainable Equity Fund;2022
Luxembourg (LU);LU2344726661;BGF Europe Sustainable Equity Fund (Class X2);549300FPZK8Q36WIPB73;;19624500019;BGF Europe Sustainable Equity Fund;2022
Luxembourg (LU);LU0562822386;BGF European Equity  Income Fund- Aggregate (CLASS A2);549300EO4UBXXE7L7Y87;;19624500019;BGF European Equity Income Fund - Aggregate;2020
Luxembourg (LU);LU0619515397;BGF European Equity  Income Fund- Aggregate (CLASS A4G);549300EO4UBXXE7L7Y87;;19624500019;BGF European Equity Income Fund - Aggregate;2020
Luxembourg (LU);LU1003076772;BGF European Equity  Income Fund- Aggregate (CLASS A5G HEDGED);549300EO4UBXXE7L7Y87;;19624500019;BGF European Equity Income Fund - Aggregate;2020
